Year,Month,Month_Num,Mean_Temp_C,Temp_Outlier,Mean_Temp_C_clean
1995,JAN,1,17.5,0,17.5
1995,FEB,2,17.0,0,17.0
1995,MAR,3,17.9,0,17.9
1995,APR,4,18.3,0,18.3
1995,MAY,5,17.1,0,17.1
1995,JUN,6,16.9,0,16.9
1995,JUL,7,15.6,0,15.6
1995,AUG,8,16.1,0,16.1
1995,SEP,9,16.1,0,16.1
1995,OCT,10,17.1,0,17.1
1995,NOV,11,17.5,0,17.5
1995,DEC,12,16.7,0,16.7
1996,JAN,1,17.1,0,17.1
1996,FEB,2,13.4,1,17.840740740740742
1996,MAR,3,11.1,1,18.678571428571427
1996,APR,4,17.4,0,17.4
1996,MAY,5,17.5,0,17.5
1996,JUN,6,16.1,0,16.1
1996,JUL,7,10.5,1,16.644444444444442
1996,AUG,8,10.1,1,16.737037037037037
1996,SEP,9,10.0,1,16.955172413793107
1996,OCT,10,10.5,1,17.648275862068967
1996,NOV,11,23.6,1,17.45862068965517
1996,DEC,12,10.1,1,17.33214285714286
1997,JAN,1,4.9,1,17.448275862068964
1997,FEB,2,6.5,1,17.840740740740742
1997,MAR,3,11.1,1,18.678571428571427
1997,APR,4,17.3,0,17.3
1997,MAY,5,11.7,1,17.756666666666668
1997,JUN,6,9.5,1,16.906666666666666
1997,JUL,7,7.9,1,16.644444444444442
1997,AUG,8,9.2,1,16.737037037037037
1997,SEP,9,16.6,0,16.6
1997,OCT,10,17.4,0,17.4
1997,NOV,11,16.8,0,16.8
1997,DEC,12,17.4,0,17.4
1998,JAN,1,17.3,0,17.3
1998,FEB,2,17.7,0,17.7
1998,MAR,3,19.0,0,19.0
1998,APR,4,19.3,0,19.3
1998,MAY,5,17.9,0,17.9
1998,JUN,6,17.0,0,17.0
1998,JUL,7,16.4,0,16.4
1998,AUG,8,16.8,0,16.8
1998,SEP,9,16.6,0,16.6
1998,OCT,10,17.2,0,17.2
1998,NOV,11,16.7,0,16.7
1998,DEC,12,16.9,0,16.9
1999,JAN,1,17.4,0,17.4
1999,FEB,2,15.2,0,15.2
1999,MAR,3,17.9,0,17.9
1999,APR,4,17.3,0,17.3
1999,MAY,5,16.4,0,16.4
1999,JUN,6,16.4,0,16.4
1999,JUL,7,8.9,1,16.644444444444442
1999,AUG,8,9.3,1,16.737037037037037
1999,SEP,9,16.6,0,16.6
1999,OCT,10,16.6,0,16.6
1999,NOV,11,16.7,0,16.7
1999,DEC,12,16.2,0,16.2
2000,JAN,1,16.6,0,16.6
2000,FEB,2,16.7,0,16.7
2000,MAR,3,17.8,0,17.8
2000,APR,4,17.8,0,17.8
2000,MAY,5,20.2,0,20.2
2000,JUN,6,15.8,0,15.8
2000,JUL,7,15.9,0,15.9
2000,AUG,8,15.5,0,15.5
2000,SEP,9,16.5,0,16.5
2000,OCT,10,16.9,0,16.9
2000,NOV,11,17.1,0,17.1
2000,DEC,12,16.7,0,16.7
2001,JAN,1,16.9,0,16.9
2001,FEB,2,17.1,0,17.1
2001,MAR,3,17.6,0,17.6
2001,APR,4,17.5,0,17.5
2001,MAY,5,16.6,0,16.6
2001,JUN,6,15.7,0,15.7
2001,JUL,7,15.3,0,15.3
2001,AUG,8,22.0,1,16.737037037037037
2001,SEP,9,24.9,1,16.955172413793107
2001,OCT,10,23.8,1,17.648275862068967
2001,NOV,11,21.8,1,17.45862068965517
2001,DEC,12,23.6,1,17.33214285714286
2002,JAN,1,12.1,1,17.448275862068964
2002,FEB,2,18.9,0,18.9
2002,MAR,3,24.6,1,18.678571428571427
2002,APR,4,24.2,1,18.230000000000004
2002,MAY,5,17.4,0,17.4
2002,JUN,6,16.8,0,16.8
2002,JUL,7,16.4,0,16.4
2002,AUG,8,16.3,0,16.3
2002,SEP,9,16.8,0,16.8
2002,OCT,10,17.9,0,17.9
2002,NOV,11,17.3,0,17.3
2002,DEC,12,17.4,0,17.4
2003,JAN,1,17.4,0,17.4
2003,FEB,2,21.9,1,17.840740740740742
2003,MAR,3,19.6,0,19.6
2003,APR,4,18.7,0,18.7
2003,MAY,5,17.5,0,17.5
2003,JUN,6,17.1,0,17.1
2003,JUL,7,16.5,0,16.5
2003,AUG,8,16.4,0,16.4
2003,SEP,9,16.3,0,16.3
2003,OCT,10,17.9,0,17.9
2003,NOV,11,18.0,0,18.0
2003,DEC,12,17.0,0,17.0
2004,JAN,1,17.5,0,17.5
2004,FEB,2,17.9,0,17.9
2004,MAR,3,19.0,0,19.0
2004,APR,4,17.7,0,17.7
2004,MAY,5,16.7,0,16.7
2004,JUN,6,16.0,0,16.0
2004,JUL,7,15.6,0,15.6
2004,AUG,8,16.4,0,16.4
2004,SEP,9,16.6,0,16.6
2004,OCT,10,17.2,0,17.2
2004,NOV,11,16.4,0,16.4
2004,DEC,12,16.5,0,16.5
2005,JAN,1,17.4,0,17.4
2005,FEB,2,18.1,0,18.1
2005,MAR,3,18.9,0,18.9
2005,APR,4,18.5,0,18.5
2005,MAY,5,17.5,0,17.5
2005,JUN,6,18.3,0,18.3
2005,JUL,7,16.6,0,16.6
2005,AUG,8,19.4,0,19.4
2005,SEP,9,17.0,0,17.0
2005,OCT,10,17.8,0,17.8
2005,NOV,11,17.6,0,17.6
2005,DEC,12,8.7,1,17.33214285714286
2006,JAN,1,17.3,0,17.3
2006,FEB,2,18.0,0,18.0
2006,MAR,3,17.6,0,17.6
2006,APR,4,17.2,0,17.2
2006,MAY,5,16.9,0,16.9
2006,JUN,6,16.9,0,16.9
2006,JUL,7,17.5,0,17.5
2006,AUG,8,16.0,0,16.0
2006,SEP,9,17.0,0,17.0
2006,OCT,10,17.7,0,17.7
2006,NOV,11,17.3,0,17.3
2006,DEC,12,16.8,0,16.8
2007,JAN,1,17.1,0,17.1
2007,FEB,2,17.1,0,17.1
2007,MAR,3,17.8,0,17.8
2007,APR,4,15.9,0,15.9
2007,MAY,5,16.6,0,16.6
2007,JUN,6,16.4,0,16.4
2007,JUL,7,22.2,1,16.644444444444442
2007,AUG,8,16.0,0,16.0
2007,SEP,9,16.6,0,16.6
2007,OCT,10,17.0,0,17.0
2007,NOV,11,17.1,0,17.1
2007,DEC,12,17.7,0,17.7
2008,JAN,1,17.6,0,17.6
2008,FEB,2,17.3,0,17.3
2008,MAR,3,18.0,0,18.0
2008,APR,4,17.4,0,17.4
2008,MAY,5,17.4,0,17.4
2008,JUN,6,16.1,0,16.1
2008,JUL,7,15.3,0,15.3
2008,AUG,8,16.9,0,16.9
2008,SEP,9,17.2,0,17.2
2008,OCT,10,16.9,0,16.9
2008,NOV,11,17.0,0,17.0
2008,DEC,12,17.5,0,17.5
2009,JAN,1,17.5,0,17.5
2009,FEB,2,17.9,0,17.9
2009,MAR,3,18.0,0,18.0
2009,APR,4,18.7,0,18.7
2009,MAY,5,17.1,0,17.1
2009,JUN,6,16.8,0,16.8
