Year,Annual_Rainfall_mm,Rainy_Months,Max_Monthly_Rain
1990,1009.5,12,164.7
1991,999.3,12,222.7
1992,1094.6,11,244.7
1993,689.4,11,110.7
1994,40.1,1,24.1
1995,985.9,11,193.1
1996,1089.9,11,246.8
1997,1213.5,10,285.1
1998,1525.1,11,320.9
1999,1074.3,11,196.8
2000,855.9,9,195.9
2001,1161.1000000000001,10,233.5
2002,882.1,11,182.2
2003,976.3,8,282.5
2004,1073.7,11,226.3
2005,955.3,10,205.4
2006,1456.8999999999999,12,288.4
2007,1144.5,10,219.0
2008,1038.4,9,187.0
2009,873.9,10,180.1
2010,1348.6,11,327.7
2011,1086.3,11,190.0
2012,1390.8,11,296.3
2013,1616.7,11,284.8
2014,897.5,11,156.3
2015,1125.3,10,203.2
2016,1294.4,11,291.7
2017,1336.3,11,261.4
2018,1467.0,11,318.0
2019,1269.5,12,273.5
2020,1619.1000000000001,12,281.2
2021,1139.5,9,276.8
2022,1381.2,10,368.2
2023,1262.1,10,231.6
2024,1616.5,12,243.2
2025,1532.7,11,387.3
