Year,Month,Month_Num,Rainfall_mm
1990,JAN,1,45.3
1990,FEB,2,156.3
1990,MAR,3,65.8
1990,APR,4,128.1
1990,MAY,5,113.3
1990,JUN,6,21.2
1990,JUL,7,164.7
1990,AUG,8,107.8
1990,SEP,9,88.1
1990,OCT,10,21.4
1990,NOV,11,62.0
1990,DEC,12,35.5
1991,JAN,1,38.0
1991,FEB,2,11.6
1991,MAR,3,129.3
1991,APR,4,50.7
1991,MAY,5,48.7
1991,JUN,6,130.8
1991,JUL,7,222.7
1991,AUG,8,192.5
1991,SEP,9,41.8
1991,OCT,10,48.9
1991,NOV,11,68.6
1991,DEC,12,15.7
1992,JAN,1,2.6
1992,FEB,2,14.1
1992,MAR,3,13.3
1992,APR,4,177.6
1992,MAY,5,87.1
1992,JUN,6,100.0
1992,JUL,7,179.8
1992,AUG,8,244.7
1992,SEP,9,95.8
1992,OCT,10,127.8
1992,NOV,11,39.4
1992,DEC,12,12.4
1993,JAN,1,62.5
1993,FEB,2,67.5
1993,MAR,3,0.4
1993,APR,4,23.5
1993,MAY,5,110.7
1993,JUN,6,80.9
1993,JUL,7,96.9
1993,AUG,8,97.0
1993,SEP,9,79.3
1993,OCT,10,14.2
1993,NOV,11,39.9
1993,DEC,12,16.6
1994,JAN,1,0.0
1994,FEB,2,0.0
1994,MAR,3,0.0
1994,APR,4,5.1
1994,MAY,5,0.0
1994,JUN,6,24.1
1994,JUL,7,0.4
1994,AUG,8,0.0
1994,SEP,9,0.0
1994,OCT,10,4.8
1994,NOV,11,5.7
1994,DEC,12,0.0
1995,JAN,1,0.3
1995,FEB,2,36.0
1995,MAR,3,84.5
1995,APR,4,193.1
1995,MAY,5,64.1
1995,JUN,6,67.1
1995,JUL,7,156.6
1995,AUG,8,141.6
1995,SEP,9,64.4
1995,OCT,10,85.1
1995,NOV,11,69.7
1995,DEC,12,23.4
1996,JAN,1,26.9
1996,FEB,2,54.6
1996,MAR,3,180.2
1996,APR,4,58.5
1996,MAY,5,76.7
1996,JUN,6,144.8
1996,JUL,7,246.8
1996,AUG,8,165.2
1996,SEP,9,70.1
1996,OCT,10,13.7
1996,NOV,11,50.6
1996,DEC,12,1.8
1997,JAN,1,19.6
1997,FEB,2,0.0
1997,MAR,3,56.5
1997,APR,4,285.1
1997,MAY,5,25.0
1997,JUN,6,152.3
1997,JUL,7,174.5
1997,AUG,8,101.0
1997,SEP,9,0.8
1997,OCT,10,157.3
1997,NOV,11,176.7
1997,DEC,12,64.7
1998,JAN,1,231.5
1998,FEB,2,91.2
1998,MAR,3,37.0
1998,APR,4,74.0
1998,MAY,5,130.3
1998,JUN,6,179.4
1998,JUL,7,320.9
1998,AUG,8,232.6
1998,SEP,9,95.2
1998,OCT,10,100.4
1998,NOV,11,32.0
1998,DEC,12,0.6
1999,JAN,1,38.3
1999,FEB,2,0.0
1999,MAR,3,183.3
1999,APR,4,108.8
1999,MAY,5,57.4
1999,JUN,6,68.4
1999,JUL,7,192.0
1999,AUG,8,128.7
1999,SEP,9,32.5
1999,OCT,10,196.8
1999,NOV,11,38.8
1999,DEC,12,29.3
2000,JAN,1,4.8
2000,FEB,2,3.1
2000,MAR,3,13.7
2000,APR,4,38.5
2000,MAY,5,159.1
2000,JUN,6,72.4
2000,JUL,7,147.7
2000,AUG,8,195.9
2000,SEP,9,91.7
2000,OCT,10,105.6
2000,NOV,11,14.9
2000,DEC,12,8.5
2001,JAN,1,125.8
2001,FEB,2,2.3
2001,MAR,3,78.9
2001,APR,4,154.3
2001,MAY,5,77.2
2001,JUN,6,142.9
2001,JUL,7,147.4
2001,AUG,8,233.5
2001,SEP,9,26.5
2001,OCT,10,106.2
2001,NOV,11,65.1
2001,DEC,12,1.0
2002,JAN,1,42.5
2002,FEB,2,29.6
2002,MAR,3,29.2
2002,APR,4,88.2
2002,MAY,5,182.2
2002,JUN,6,37.1
2002,JUL,7,91.1
2002,AUG,8,109.9
2002,SEP,9,1.5
2002,OCT,10,64.4
2002,NOV,11,31.9
2002,DEC,12,174.5
2003,JAN,1,3.0
2003,FEB,2,2.4
2003,MAR,3,47.4
2003,APR,4,282.5
2003,MAY,5,170.4
2003,JUN,6,102.8
2003,JUL,7,85.6
2003,AUG,8,198.7
2003,SEP,9,28.4
2003,OCT,10,5.2
2003,NOV,11,7.6
2003,DEC,12,42.3
2004,JAN,1,55.1
2004,FEB,2,3.2
2004,MAR,3,90.2
2004,APR,4,226.3
2004,MAY,5,57.2
2004,JUN,6,104.2
2004,JUL,7,127.2
2004,AUG,8,115.5
2004,SEP,9,95.6
2004,OCT,10,54.3
2004,NOV,11,121.9
2004,DEC,12,23.0
2005,JAN,1,37.3
2005,FEB,2,18.5
2005,MAR,3,97.9
2005,APR,4,61.2
2005,MAY,5,205.4
2005,JUN,6,82.2
2005,JUL,7,150.3
2005,AUG,8,179.1
2005,SEP,9,103.5
2005,OCT,10,5.0
2005,NOV,11,10.9
2005,DEC,12,4.0
2006,JAN,1,13.2
2006,FEB,2,45.9
2006,MAR,3,105.6
2006,APR,4,108.3
2006,MAY,5,76.9
2006,JUN,6,63.5
2006,JUL,7,128.7
2006,AUG,8,288.4
2006,SEP,9,112.5
2006,OCT,10,165.8
2006,NOV,11,171.6
2006,DEC,12,176.5
2007,JAN,1,39.0
2007,FEB,2,145.3
2007,MAR,3,43.4
2007,APR,4,86.0
2007,MAY,5,111.1
2007,JUN,6,147.4
2007,JUL,7,165.3
2007,AUG,8,174.3
2007,SEP,9,219.0
2007,OCT,10,2.7
2007,NOV,11,11.0
2007,DEC,12,0.0
2008,JAN,1,5.3
2008,FEB,2,3.9
2008,MAR,3,74.1
2008,APR,4,97.8
2008,MAY,5,91.9
2008,JUN,6,77.6
2008,JUL,7,187.0
2008,AUG,8,87.1
2008,SEP,9,156.4
2008,OCT,10,134.1
2008,NOV,11,123.2
2008,DEC,12,0.0
2009,JAN,1,15.4
2009,FEB,2,2.0
2009,MAR,3,7.4
2009,APR,4,84.4
2009,MAY,5,160.6
2009,JUN,6,20.5
2009,JUL,7,147.4
2009,AUG,8,73.0
2009,SEP,9,46.3
2009,OCT,10,120.4
2009,NOV,11,16.4
2009,DEC,12,180.1
2010,JAN,1,68.3
2010,FEB,2,167.9
2010,MAR,3,75.7
2010,APR,4,87.7
2010,MAY,5,217.1
2010,JUN,6,70.8
2010,JUL,7,327.7
2010,AUG,8,198.2
2010,SEP,9,42.7
2010,OCT,10,52.5
2010,NOV,11,4.2
2010,DEC,12,35.8
2011,JAN,1,1.3
2011,FEB,2,43.5
2011,MAR,3,56.3
2011,APR,4,68.8
2011,MAY,5,79.9
2011,JUN,6,138.1
2011,JUL,7,190.0
2011,AUG,8,144.4
2011,SEP,9,130.3
2011,OCT,10,58.4
2011,NOV,11,155.5
2011,DEC,12,19.8
2012,JAN,1,0.0
2012,FEB,2,11.8
2012,MAR,3,20.2
2012,APR,4,296.3
2012,MAY,5,177.2
2012,JUN,6,215.8
2012,JUL,7,120.0
2012,AUG,8,116.3
2012,SEP,9,123.3
2012,OCT,10,125.0
2012,NOV,11,32.1
2012,DEC,12,152.8
2013,JAN,1,58.7
2013,FEB,2,3.7
2013,MAR,3,161.4
2013,APR,4,265.9
2013,MAY,5,119.3
2013,JUN,6,143.9
2013,JUL,7,144.7
2013,AUG,8,284.8
2013,SEP,9,166.1
2013,OCT,10,79.6
2013,NOV,11,98.5
2013,DEC,12,90.1
2014,JAN,1,5.2
2014,FEB,2,60.6
