Year,Annual_Mean_Temp,Max_Monthly_Temp,Min_Monthly_Temp,Temp_Range
1995,16.983333333333334,18.3,15.6,2.700000000000001
1996,13.950000000000001,23.6,10.0,13.600000000000001
1997,12.191666666666668,17.4,4.9,12.499999999999998
1998,17.400000000000002,19.3,16.4,2.900000000000002
1999,15.408333333333333,17.9,8.9,8.999999999999998
2000,16.958333333333332,20.2,15.5,4.699999999999999
2001,19.400000000000002,24.9,15.3,9.599999999999998
2002,18.008333333333333,24.6,12.1,12.500000000000002
2003,17.858333333333334,21.9,16.3,5.599999999999998
2004,16.958333333333332,19.0,15.6,3.4000000000000004
2005,17.150000000000002,19.4,8.7,10.7
2006,17.183333333333334,18.0,16.0,2.0
2007,17.291666666666668,22.2,15.9,6.299999999999999
2008,17.05,18.0,15.3,2.6999999999999993
2009,17.599999999999998,18.7,16.6,2.099999999999998
2010,17.458333333333332,18.5,15.2,3.3000000000000007
2011,17.625,19.0,16.6,2.3999999999999986
2012,17.358333333333334,18.6,15.4,3.200000000000001
2013,17.0,18.9,16.3,2.599999999999998
2014,17.333333333333332,18.7,16.4,2.3000000000000007
2015,18.116666666666667,19.8,17.2,2.6000000000000014
2016,17.783333333333335,20.3,16.5,3.8000000000000007
2017,17.900000000000002,19.5,16.9,2.6000000000000014
2018,17.525000000000002,19.2,16.2,3.0
2019,18.108333333333334,20.0,16.7,3.3000000000000007
2020,17.683333333333334,18.6,16.8,1.8000000000000007
2021,17.891666666666666,19.3,16.8,2.5
2022,17.75,19.3,16.5,2.8000000000000007
2023,18.25,20.1,17.2,2.900000000000002
2024,18.516666666666666,23.7,17.4,6.300000000000001
2025,17.783333333333335,18.8,16.7,2.1000000000000014
